condition,regime,wrong,trajectory,seed,B1_F,K1_F,B1_int,K1_int,B1_e,K1_e
0,B,False,129,16100216468074718207,0.001521,0.987445,0.304116,0.986894,5.263951,6.453629
0,B,False,130,18170179375270938255,0.795734,0.985897,0.958862,0.988593,0.612623,0.804971
0,B,False,131,15938280625536513631,0.165147,0.946788,0.314740,0.981706,3.442828,4.202120
0,B,False,132,1863595606247557403,0.998403,0.985944,0.979344,0.994732,0.522441,0.685642
0,B,False,133,8779269494373167123,0.302270,0.997624,0.833575,0.996136,1.026453,1.572574
0,B,False,134,15673294531230463559,0.148417,0.988644,0.339851,0.993558,4.147869,4.953588
0,B,False,135,6546157702392299646,0.929359,0.999752,0.671623,0.997061,1.541791,1.777109
0,B,False,136,14175486175583147887,0.527866,0.999563,0.855511,0.998874,0.943186,1.491373
0,B,False,137,2723616798389846593,0.748762,0.993933,0.944976,0.995227,0.534710,0.769380
0,B,False,138,4253040765001152812,0.532140,0.998439,0.837357,0.997579,0.955808,1.272707
0,B,False,139,7183569130053270251,0.557430,0.990947,0.906427,0.989769,0.552480,0.793051
0,B,False,140,14876798086321358358,0.938984,0.978258,0.791372,0.991851,1.320648,1.535174
0,B,False,141,818285479060412438,0.051626,0.988203,0.645718,0.987009,2.409304,3.362926
0,B,False,142,17810835190234706811,0.889908,0.997748,0.941160,0.995309,0.624546,0.785123
0,B,False,143,14937736043367929972,0.433992,0.990552,0.608024,0.994254,1.888402,2.516997
0,B,False,144,14551305983604970407,0.125149,0.999169,0.415083,0.999482,3.719951,4.455924
0,B,False,145,13265647662600768821,0.305985,0.999371,0.785088,0.998671,1.151501,1.606696
0,B,False,146,4419254689044984187,0.483681,1.000000,0.520206,0.999101,2.591154,3.072980
0,B,False,147,8892460906512563003,0.989193,0.999452,0.526426,0.994216,2.342286,2.846499
0,B,False,148,14896333487085688320,0.995170,0.998278,0.941589,0.997742,0.525108,0.764235
0,B,False,149,10380545843764232654,0.798038,0.999643,0.859724,0.994091,0.763102,1.006766
0,B,False,150,6630120930247150382,0.994814,0.999802,0.951149,0.997537,0.439582,0.525714
0,B,False,151,10665621507777772520,0.421431,0.985574,0.571834,0.994336,2.548427,3.133408
0,B,False,152,1738081950813811106,0.884403,0.999983,0.784607,0.992445,1.044513,1.364464
0,B,False,153,17899349771188291029,0.009665,0.974361,0.657909,0.986228,2.080727,3.130413
0,B,False,154,8812064127872443066,0.390122,0.991664,0.581767,0.996928,2.320087,2.827447
0,B,False,155,3253323538317167122,0.635600,0.983682,0.954423,0.987570,0.542924,0.834390
0,B,False,156,10414933645770106716,0.999984,0.993350,0.598358,0.998275,2.236421,2.605210
0,B,False,157,16823716647236655461,0.758289,0.999328,0.951065,0.997929,0.578441,0.943295
0,B,False,158,14151171250347361643,0.993954,0.996937,0.964272,0.998669,0.524611,0.705924
0,B,False,159,5784256038332739669,0.159522,0.992750,0.584338,0.994695,4.309067,5.927026
0,B,False,160,13922804056035861309,0.439983,0.995920,0.671499,0.996825,1.967825,2.485973
0,B,False,161,10811508319269836193,0.940437,0.990321,0.825252,0.995743,0.930142,1.289514
0,B,False,162,14101135820784492977,0.576701,0.999918,0.692208,0.999183,1.539028,1.906645
0,B,False,163,8426529291970484699,0.941639,0.863190,0.818187,0.935216,0.542681,0.741521
0,B,False,164,5387733996514614122,0.931987,0.984381,0.947237,0.987834,0.516078,0.808333
0,B,False,165,632356201489216354,0.130646,0.932846,0.491562,0.973478,1.857703,2.455527
0,B,False,166,14255574563921086766,0.090512,1.000000,0.666778,0.993582,3.859591,5.467458
0,B,False,167,2579797834808679832,0.676496,0.999469,0.691427,0.995595,1.862061,2.238783
0,B,False,168,16414102953224792267,0.038856,0.999995,0.684693,0.990989,3.998106,5.640175
0,B,False,169,6692421827244363951,0.618897,0.999444,0.933783,0.998520,0.644350,0.971557
0,B,False,170,3877599420909139526,0.975678,0.971480,0.960233,0.994065,0.474011,0.583317
0,B,False,171,13026377236299590074,0.577650,0.974779,0.669527,0.993592,1.712904,2.356123
0,B,False,172,11889748274810362994,0.279656,0.999985,0.860348,0.999002,1.066759,1.597467
0,B,False,173,11819234196926277566,0.030932,0.982951,0.627628,0.993526,1.631778,2.829392
0,B,False,174,11759541634526467721,0.173805,0.994431,0.763873,0.998020,1.463754,2.060129
0,B,False,175,6911733858453867683,0.891256,0.980093,0.666850,0.992670,2.020506,2.452351
0,B,False,176,2879679186955224669,0.975116,0.999964,0.761023,0.998570,1.220961,1.455894
0,B,False,177,3080514693772911641,0.000877,0.956853,0.624787,0.979499,1.873381,2.927636
0,B,False,178,9872307904607576762,0.977348,0.996539,0.681949,0.994547,2.043031,2.454748
0,B,False,179,7654013680245477515,0.985177,0.995102,0.870743,0.991304,0.714603,0.944591
0,B,False,180,12761781976288209900,0.994771,0.998026,0.963881,0.995407,0.424428,0.545361
0,B,False,181,1733502000736036112,0.014934,0.967343,0.577701,0.991361,2.290149,3.145759
0,B,False,182,6041916978047591176,0.999426,0.996476,0.747700,0.998004,1.161529,1.369544
0,B,False,183,6409865495178403902,0.465491,0.999981,0.898417,0.992216,0.838524,1.259040
0,B,False,184,7321294978425608053,0.515503,0.998468,0.924411,0.999250,0.609236,0.943579
