trajectory,seed,B1_F,B1_FI,B1_E,GLOBAL_F,GLOBAL_FI,GLOBAL_E,LOCAL_F,LOCAL_FI,LOCAL_E,HYBRID_F,HYBRID_FI,HYBRID_E
231,15688423162593867716,0.8467573011892191,0.889819020246339,2.9648740797718904,0.8773458331580383,0.8571412454605233,2.4570994135254947,0.031725994428769895,0.49051917421753577,0.5408468502098392,0.8773458331580383,0.8571412454605233,2.9190489476706394
232,17670164464736701651,0.8331908990913155,0.9655424477138125,1.2414262190812413,0.7974778582690921,0.9529009268607554,0.8244432514549578,0.6623963022927566,0.7207039995170946,0.5112461208974208,0.7974778582690921,0.9529009268607554,1.3087416638243152
233,36943488372651200,0.9141274664108444,0.8909306456102677,2.8710611524143066,0.8117122219177648,0.8412563474847633,2.5362315283626304,0.26112268352353185,0.6187361674362021,0.369870219431668,0.8117122219177648,0.8412563474847633,2.8271971217455363
234,18230448628372889925,0.9231427771421774,0.9447820519035226,1.87684878395589,0.8522937317800499,0.9378317406829813,1.5157607919045877,0.700455720977931,0.8327039437787394,0.4238176382002975,0.8522937317800499,0.9378317406829814,1.8977542819783197
235,11824886972261690633,0.9999805351584719,0.962420031196477,1.0845674515610055,0.9992344755592659,0.951953493067596,0.7054017277416995,0.8277889447838587,0.4804625956337173,0.4624593998622847,0.9992344755592659,0.951953493067596,1.1466028568016366
236,2859567482916333676,0.9636915154062996,0.9299595422178533,1.7417529977128934,0.9823885119588847,0.9039553756891973,1.2705843006389317,0.8924379471836561,0.6031381263722205,0.5620007513223403,0.9823885119588847,0.9039553756891973,1.7840795888443117
237,15013137419784485096,0.8196402446805899,0.8680070858064575,3.578050039055615,0.8723413156653742,0.8216994945354569,3.003387942808855,0.6291987857921051,0.48748025624562563,0.6756065940913164,0.8723413156653742,0.8216994945354569,3.597363570345078
238,15199579139983470860,0.9742088123012995,0.9424008605900186,1.656541582165194,0.9586137811165022,0.9319545020228249,1.2966284512181014,0.12798967387380367,0.6895930594304607,0.4727356443890105,0.9586137811165022,0.9319545020228249,1.7188959577221352
239,14663614714093125957,0.9883070634398852,0.9274827720017245,2.0737037801224667,0.9886410828001354,0.9173010230031602,1.671249472330307,0.05435193289546145,0.6215474329478918,0.6296118401113244,0.9886410828001354,0.9173010230031602,2.2233083767750537
240,18346091605825877124,0.9999608561556373,0.9465668216450093,1.787078435124855,0.9998382191841632,0.9372222111574814,1.366959478437049,0.2784527554518501,0.49736304602737896,0.5412915869656018,0.9998382191841632,0.9372222111574814,1.8611059062912063
241,14571616484498259121,0.9987881520409673,0.9771389482355725,0.7683869094287635,0.985836110602768,0.9787357017358268,0.38918615787735866,0.021242579091973184,0.41797705109697747,0.4534328302246261,0.985836110602768,0.9787357017358269,0.8290454543168918
242,5613048738248035165,0.715492857756202,0.8704594975574574,4.109561695303548,0.6811941708761607,0.8653296208939629,3.6221869227332917,0.08318490443201237,0.6260447563426617,0.6525790463995329,0.6811941708761605,0.8653296208939628,4.124898901300043
243,11052706072512328157,0.9078206748506135,0.9103111176626922,2.6142374414983127,0.9167561753994575,0.8826381615728436,2.144479503342108,0.043000493364344215,0.5416112958183246,0.5671686706557375,0.9167561753994575,0.8826381615728436,2.653311357694021
244,4168292294464226618,0.9031732889786805,0.8562510358684229,3.9143486313898364,0.9147249401937688,0.8504506087451877,3.3983443845134547,0.12491276221550476,0.661158565617878,0.837018675580372,0.9147249401937688,0.8504506087451877,4.0643261028667546
245,1226713549666919782,0.7905057509691247,0.9538718424113172,1.3659148003129327,0.6652892417343781,0.9340780203954925,0.9392166261418663,0.24244016299006194,0.6456597560252786,0.5255124674557448,0.6652892417343781,0.9340780203954925,1.4329007482643528
246,921180559219343799,0.9959802167385894,0.9494952309775486,1.2909080196653362,0.9955648435551275,0.9314007968706391,0.9508651304436769,0.9783097278727142,0.7971694432639321,0.4319937865146489,0.9955648435551275,0.931400796870639,1.332853841034798
247,10433403612832264639,0.8132993597962618,0.9390503056786873,1.6815475354274614,0.6861599795216534,0.9192938241611114,1.2545130982586397,0.9879557610752132,0.5166645247792885,0.49309677644179445,0.6861599795216534,0.9192938241611114,1.6977979887893033
248,17655102196318245142,0.5931974618181878,0.5813134669432458,11.167433781034326,0.5085393274415775,0.4952090594106751,10.650225630268785,0.7515487511220569,0.5173357818480323,1.017963665211207,0.5085393274415773,0.4952090594106751,11.179903045703824
249,15386254439608932915,0.9734762181936129,0.9128498308855507,2.4032732535029813,0.9434337230083759,0.8862460439340171,2.0152649716200006,0.9243098998414312,0.519689962741704,0.4178068318110651,0.9434337230083759,0.8862460439340171,2.3697677517730047
250,2300946870596831027,0.9926130440473407,0.9828213008271232,0.6155853855701977,0.9894227859767185,0.9805419451222968,0.2918892043127849,0.12602480874199823,0.6842388545770187,0.4017818041651424,0.9894227859767185,0.9805419451222968,0.6836910955007767
251,6297054869115347985,0.8852717673836323,0.8526163767651499,4.07198606089855,0.8853542337226268,0.8403568209416208,3.7432382469646837,0.8464388619329091,0.6436668494994658,0.5306985121728528,0.885354233722627,0.8403568209416209,4.109368159186212
252,10302365985324813777,0.9840812984195074,0.926224827450213,2.6106480439546402,0.9914487424194175,0.9092636279740263,2.2897690539351405,0.5727488708110593,0.6392250845537433,0.36870589560043904,0.9914487424194175,0.9092636279740263,2.575694435346128
253,13849258202405409348,0.8902839098708706,0.7528050834322426,6.294720585401421,0.8304935842871395,0.6873329594061058,5.865153076619356,0.10086237222310421,0.6054024952954824,0.7148151556517163,0.8304935842871395,0.6873329594061058,6.315170725746015
