t,shifted,generation,policy,mode,trusted,reward,regret_v02,regret_b1,adv_v02_vs_b1
229,0,0,HYBRID,DEPLOY,1,0.8886428501465773,0.0,0.0732525389045221,0.0732525389045221
230,0,0,B1,DEPLOY,1,0.8900416531145106,0.0,0.0,0.0
231,0,0,GLOBAL,DEPLOY,1,0.874497899974773,0.02389385636449204,0.02800391850592543,0.0041100621414333904
232,0,0,HYBRID,DEPLOY,1,0.8893591148557481,0.0,0.05919766225577683,0.05919766225577683
233,0,0,GLOBAL,DEPLOY,1,0.83622617514966,0.0026911963806687256,0.021889479102694787,0.01919828272202606
234,0,0,HYBRID,DEPLOY,1,0.858433233220314,0.0,0.07782492738991309,0.07782492738991309
235,0,0,LOCAL,DEPLOY,1,0.8822815742295821,0.013346364674774014,0.0803327226583207,0.06698635798354668
236,0,0,HYBRID,DEPLOY,1,0.9675086844525597,0.0,0.07811777173874912,0.07811777173874912
237,0,0,B1,DEPLOY,1,0.873701874911455,0.0,0.0,0.0
238,0,0,HYBRID,DEPLOY,1,0.9935097965615616,0.0,0.12587646851763945,0.12587646851763945
239,0,0,B1,DEPLOY,1,0.8183598053263881,0.0,0.0,0.0
240,0,0,B1,DEPLOY,1,0.8082990466349591,0.012738884230989234,0.012738884230989234,0.0
241,0,0,GLOBAL,DEPLOY,1,0.7745304135318928,0.08859973111945452,0.024614211115523754,-0.06398552000393076
242,0,0,HYBRID,DEPLOY,1,0.8957674347447118,0.02254205222697636,0.10798092924106917,0.0854388770140928
243,0,0,B1,DEPLOY,1,0.7725123861643444,0.0,0.0,0.0
244,0,0,HYBRID,DEPLOY,1,0.8743391271879474,0.0,0.027897416971103817,0.027897416971103817
245,0,0,HYBRID,DEPLOY,1,0.9559254326097885,0.0,0.11339083244957238,0.11339083244957238
246,0,0,B1,DEPLOY,1,0.8644729405469178,0.0,0.0,0.0
247,0,0,HYBRID,DEPLOY,1,0.9208946692346112,0.0,0.05968621691987719,0.05968621691987719
248,0,0,HYBRID,DEPLOY,1,0.8940714581259701,0.0,0.030952439107875596,0.030952439107875596
249,0,0,B1,DEPLOY,1,0.781352672116957,0.012207634793063082,0.012207634793063082,0.0
250,0,0,GLOBAL,DEPLOY,1,0.8180996559852161,0.0,0.05388714056121946,0.05388714056121946
251,0,0,HYBRID,DEPLOY,1,0.8488164981524713,0.0,0.06237628766657377,0.06237628766657377
252,0,0,HYBRID,DEPLOY,1,0.971544380148017,0.0,0.14325489300168193,0.14325489300168193
253,0,0,GLOBAL,DEPLOY,1,0.8354976058859259,0.033431746144669594,0.03633312965763136,0.0029013835129617638
254,0,0,HYBRID,DEPLOY,1,0.991058250018516,0.0,0.1299181969769302,0.1299181969769302
255,0,0,HYBRID,DEPLOY,1,0.9125835531760329,0.0,0.08419402720123181,0.08419402720123181
256,0,0,GLOBAL,DEPLOY,1,0.9647491325138596,0.0,0.10324104234413967,0.10324104234413967
257,0,0,B1,DEPLOY,1,0.8015888017197881,0.0,0.0,0.0
258,0,0,B1,DEPLOY,1,0.8408076509601957,0.0,0.0,0.0
259,0,0,HYBRID,DEPLOY,1,0.9537485517555164,0.0,0.08737524157770926,0.08737524157770926
260,0,0,HYBRID,DEPLOY,1,1.0,0.0,0.11974997814061616,0.11974997814061616
261,0,0,HYBRID,DEPLOY,1,1.0,0.0,0.06316712487605058,0.06316712487605058
262,0,0,HYBRID,DEPLOY,1,0.9607330376394964,0.0,0.08801212295598682,0.08801212295598682
263,0,0,HYBRID,DEPLOY,1,0.9167610153536861,0.0,0.045404475486259144,0.045404475486259144
264,0,0,GLOBAL,DEPLOY,1,0.9019814094629149,0.0,0.14332802112178078,0.14332802112178078
265,0,0,LOCAL,DEPLOY,1,0.8832254646025691,0.0,0.10797740862135541,0.10797740862135541
266,0,0,GLOBAL,DEPLOY,1,0.8732731393696147,0.0,0.1101319783965733,0.1101319783965733
267,0,0,LOCAL,DEPLOY,1,0.8838855662252524,0.037110406740263,0.09583458238275622,0.058724175642493215
268,0,0,GLOBAL,DEPLOY,1,0.928227977361558,0.09196132453402683,0.12517578701622822,0.03321446248220139
269,0,0,LOCAL,DEPLOY,1,0.760600047784708,0.09002191001437188,0.017256831119561,-0.07276507889481088
270,0,0,HYBRID,DEPLOY,1,0.9756672101420003,0.0,0.13161116226065828,0.13161116226065828
271,0,0,GLOBAL,DEPLOY,1,0.846230116017282,0.04301217263316526,0.09736122281352011,0.05434905018035485
272,0,0,B1,DEPLOY,1,0.8088365801900388,0.0,0.0,0.0
273,0,0,GLOBAL,DEPLOY,1,0.832636208448925,0.0,0.0702631106374314,0.0702631106374314
274,0,0,HYBRID,LEARN_UCB,1,0.8111786442859431,0.07277328483071832,0.06881527990597336,-0.003958004924744962
275,0,0,GLOBAL,DEPLOY,1,0.8330514870274678,0.02790299327632295,0.026918090345437018,-0.0009849029308859336
276,0,0,LOCAL,DEPLOY,1,0.7979673575337443,0.02145111594927529,0.045733656108872256,0.024282540159596966
277,0,0,HYBRID,DEPLOY,1,0.854959793872842,0.0,0.020636060677747592,0.020636060677747592
278,0,0,B1,DEPLOY,1,0.8768454696325937,0.0,0.0,0.0
279,0,0,B1,DEPLOY,1,0.8476097934914048,0.0,0.0,0.0
280,0,0,HYBRID,DEPLOY,1,0.9682044730752758,0.0,0.11876611477334753,0.11876611477334753
281,0,0,LOCAL,DEPLOY,1,0.8521734127401893,0.0,0.0324516933876422,0.0324516933876422
282,0,0,B1,DEPLOY,1,0.9026186146312621,0.0,0.0,0.0
283,0,0,HYBRID,DEPLOY,1,0.8596566485030589,0.039256605682635004,0.11395367601414774,0.07469707033151274
284,0,0,B1,DEPLOY,1,0.8622629431165089,0.0,0.0,0.0
285,0,0,HYBRID,DEPLOY,1,0.8516098499274509,0.0,0.030059979391058866,0.030059979391058866
286,0,0,LOCAL,DEPLOY,1,0.8408910409017665,0.0,0.05824684031372884,0.05824684031372884
