t,b1_policy,v01_policy,v02_policy,v02_mode,regret_b1,regret_v01,regret_v02,adv_v02_vs_b1,adv_v02_vs_v01
195,B1,B1,LOCAL,DEPLOY,0.06829679510763687,0.06829679510763687,0.0,0.06829679510763687,0.06829679510763687
196,B1,B1,GLOBAL,DEPLOY,0.07997160174127194,0.07997160174127194,0.008367578620213978,0.07160402312105796,0.07160402312105796
197,B1,B1,HYBRID,DEPLOY,0.13341995116361183,0.13341995116361183,0.0,0.13341995116361183,0.13341995116361183
198,B1,B1,HYBRID,DEPLOY,0.08156369433806221,0.08156369433806221,0.0,0.08156369433806221,0.08156369433806221
199,B1,HYBRID,HYBRID,DEPLOY,0.043768831509512274,0.0,0.0,0.043768831509512274,0.0
200,B1,B1,GLOBAL,DEPLOY,0.09511989969809931,0.09511989969809931,0.11819312029396278,-0.023073220595863475,-0.023073220595863475
201,B1,HYBRID,HYBRID,DEPLOY,0.06229390638873189,0.0,0.0,0.06229390638873189,0.0
202,B1,B1,LOCAL,DEPLOY,0.0,0.0,0.013091535338173865,-0.013091535338173865,-0.013091535338173865
203,B1,B1,LOCAL,DEPLOY,0.014937329048219983,0.014937329048219983,0.09780852202087997,-0.08287119297265999,-0.08287119297265999
204,B1,B1,B1,DEPLOY,0.0,0.0,0.0,0.0,0.0
205,B1,B1,B1,DEPLOY,0.0,0.0,0.0,0.0,0.0
206,B1,B1,B1,DEPLOY,0.00515693610124468,0.00515693610124468,0.00515693610124468,0.0,0.0
207,B1,GLOBAL,GLOBAL,DEPLOY,0.03717582994788715,0.08092043352705225,0.08092043352705225,-0.0437446035791651,0.0
208,B1,B1,HYBRID,DEPLOY,0.100196914611826,0.100196914611826,0.0,0.100196914611826,0.100196914611826
209,B1,HYBRID,HYBRID,DEPLOY,0.14378326930982488,0.0,0.0,0.14378326930982488,0.0
210,B1,B1,LOCAL,DEPLOY,0.019255371021878465,0.019255371021878465,0.0823166563703317,-0.06306128534845323,-0.06306128534845323
211,B1,B1,GLOBAL,DEPLOY,0.057139142070746884,0.057139142070746884,0.030644120734450664,0.02649502133629622,0.02649502133629622
212,B1,B1,GLOBAL,DEPLOY,0.0056550767260946655,0.0056550767260946655,0.040325550879640404,-0.03467047415354574,-0.03467047415354574
213,B1,B1,HYBRID,DEPLOY,0.1407793925596682,0.1407793925596682,0.0,0.1407793925596682,0.1407793925596682
214,B1,B1,HYBRID,DEPLOY,0.05283762341214848,0.05283762341214848,0.0,0.05283762341214848,0.05283762341214848
215,B1,LOCAL,HYBRID,DEPLOY,0.09008339762876516,0.07762555741935684,0.0,0.09008339762876516,0.07762555741935684
216,B1,B1,HYBRID,DEPLOY,0.06433663796982148,0.06433663796982148,0.0,0.06433663796982148,0.06433663796982148
217,B1,B1,B1,DEPLOY,0.0,0.0,0.0,0.0,0.0
218,B1,B1,HYBRID,DEPLOY,0.1368541486528848,0.1368541486528848,0.0,0.1368541486528848,0.1368541486528848
219,B1,GLOBAL,GLOBAL,DEPLOY,0.043911175802215596,0.0,0.0,0.043911175802215596,0.0
220,B1,B1,HYBRID,DEPLOY,0.09404706192045365,0.09404706192045365,0.0,0.09404706192045365,0.09404706192045365
221,B1,B1,HYBRID,DEPLOY,0.11393523637407788,0.11393523637407788,0.0,0.11393523637407788,0.11393523637407788
222,B1,B1,HYBRID,DEPLOY,0.13886538368991985,0.13886538368991985,0.0,0.13886538368991985,0.13886538368991985
223,B1,B1,HYBRID,DEPLOY,0.08797209759971647,0.08797209759971647,0.0,0.08797209759971647,0.08797209759971647
224,B1,B1,HYBRID,DEPLOY,0.13841375210595352,0.13841375210595352,0.0,0.13841375210595352,0.13841375210595352
225,B1,B1,HYBRID,DEPLOY,0.06284064321878058,0.06284064321878058,0.0,0.06284064321878058,0.06284064321878058
226,B1,B1,B1,DEPLOY,0.0,0.0,0.0,0.0,0.0
227,B1,GLOBAL,GLOBAL,DEPLOY,0.009941740746439276,0.051701591363518595,0.051701591363518595,-0.04175985061707932,0.0
228,B1,GLOBAL,GLOBAL,DEPLOY,0.05411364847205258,0.0,0.0,0.05411364847205258,0.0
229,B1,B1,HYBRID,DEPLOY,0.13363515172497742,0.13363515172497742,0.0,0.13363515172497742,0.13363515172497742
230,B1,B1,B1,LEARN_UCB,0.0,0.0,0.0,0.0,0.0
231,B1,B1,B1,DEPLOY,0.01776178049880839,0.01776178049880839,0.01776178049880839,0.0,0.0
232,B1,LOCAL,HYBRID,DEPLOY,0.005867064889135465,0.023833520458689805,0.0,0.005867064889135465,0.023833520458689805
233,B1,HYBRID,HYBRID,DEPLOY,0.014860128424554309,0.0,0.0,0.014860128424554309,0.0
234,B1,GLOBAL,GLOBAL,DEPLOY,0.11578110961591503,0.0,0.0,0.11578110961591503,0.0
235,B1,B1,B1,DEPLOY,0.0028347327115428866,0.0028347327115428866,0.0028347327115428866,0.0,0.0
236,B1,B1,LOCAL,DEPLOY,0.05347389805463898,0.05347389805463898,0.0,0.05347389805463898,0.05347389805463898
237,B1,B1,B1,DEPLOY,0.0,0.0,0.0,0.0,0.0
238,B1,GLOBAL,GLOBAL,DEPLOY,0.0811405146772709,0.0,0.0,0.0811405146772709,0.0
239,B1,B1,B1,DEPLOY,0.0,0.0,0.0,0.0,0.0
240,B1,B1,HYBRID,DEPLOY,0.02689491674358835,0.02689491674358835,0.0,0.02689491674358835,0.02689491674358835
241,B1,B1,HYBRID,DEPLOY,0.13284887747754381,0.13284887747754381,0.0,0.13284887747754381,0.13284887747754381
242,B1,B1,B1,DEPLOY,0.0,0.0,0.0,0.0,0.0
243,B1,HYBRID,HYBRID,DEPLOY,0.051824440090645796,0.0,0.0,0.051824440090645796,0.0
244,B1,B1,B1,DEPLOY,0.0,0.0,0.0,0.0,0.0
245,B1,B1,LOCAL,DEPLOY,0.059073058719583904,0.059073058719583904,0.0,0.059073058719583904,0.059073058719583904
